"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Sep-2024","EQ","1,967.00","1,967.00","1,936.45","1,964.50","1,940.90","1,941.25","1,952.15","1,975.75","1,351.65","46,94,322","9,16,40,03,289.55","1,46,119"
"02-Sep-2024","EQ","1,943.35","1,975.75","1,942.80","1,943.70","1,959.50","1,964.50","1,961.02","1,975.75","1,351.65","55,73,739","10,93,02,27,192.05","2,31,832"
"30-Aug-2024","EQ","1,938.00","1,950.00","1,928.00","1,933.35","1,949.85","1,943.70","1,940.67","1,951.00","1,351.65","1,34,66,759","26,13,45,16,922.15","2,46,824"
"29-Aug-2024","EQ","1,933.00","1,950.50","1,920.90","1,939.10","1,930.20","1,933.35","1,936.08","1,951.00","1,351.65","72,28,284","13,99,45,72,218.80","2,51,568"
"28-Aug-2024","EQ","1,906.90","1,951.00","1,897.40","1,900.10","1,938.00","1,939.10","1,935.93","1,951.00","1,351.65","65,14,531","12,61,16,99,907.10","2,39,601"
"27-Aug-2024","EQ","1,876.15","1,902.75","1,873.90","1,876.15","1,898.00","1,900.10","1,895.32","1,903.00","1,351.65","38,30,679","7,26,03,60,446.00","1,69,020"
"26-Aug-2024","EQ","1,870.00","1,888.75","1,864.00","1,862.10","1,878.00","1,876.15","1,879.70","1,903.00","1,351.65","37,28,589","7,00,86,12,072.55","1,64,417"
"23-Aug-2024","EQ","1,878.20","1,882.60","1,857.00","1,880.25","1,865.95","1,862.10","1,864.29","1,903.00","1,351.65","50,15,935","9,35,11,50,975.10","1,58,876"
"22-Aug-2024","EQ","1,884.00","1,893.65","1,869.70","1,872.70","1,879.95","1,880.25","1,880.39","1,903.00","1,351.65","43,00,287","8,08,62,21,002.75","1,85,241"
"21-Aug-2024","EQ","1,875.10","1,879.00","1,867.10","1,872.20","1,872.60","1,872.70","1,871.57","1,903.00","1,351.65","19,66,902","3,68,11,87,613.50","1,16,979"
"20-Aug-2024","EQ","1,880.00","1,885.70","1,868.20","1,864.80","1,871.00","1,872.20","1,875.20","1,903.00","1,351.65","38,70,333","7,25,76,35,525.75","1,41,879"
"19-Aug-2024","EQ","1,860.00","1,867.55","1,849.20","1,858.95","1,865.00","1,864.80","1,862.30","1,903.00","1,351.65","25,85,989","4,81,58,90,949.80","1,40,168"
"16-Aug-2024","EQ","1,850.00","1,861.85","1,829.50","1,823.25","1,856.95","1,858.95","1,844.85","1,903.00","1,351.65","73,35,657","13,53,31,80,793.15","2,18,353"
"14-Aug-2024","EQ","1,802.00","1,825.00","1,797.45","1,797.45","1,820.00","1,823.25","1,813.72","1,903.00","1,351.65","74,50,718","13,51,35,04,750.80","1,95,413"
"13-Aug-2024","EQ","1,810.00","1,810.00","1,789.05","1,797.40","1,795.95","1,797.45","1,799.30","1,903.00","1,351.65","41,76,918","7,51,55,36,069.05","1,52,390"
"12-Aug-2024","EQ","1,773.05","1,803.50","1,768.10","1,770.75","1,793.30","1,797.40","1,793.12","1,903.00","1,351.65","43,15,329","7,73,79,16,018.35","1,38,899"
"09-Aug-2024","EQ","1,771.25","1,780.75","1,756.00","1,743.15","1,770.70","1,770.75","1,766.78","1,903.00","1,351.65","42,58,524","7,52,38,90,127.90","1,30,511"
"08-Aug-2024","EQ","1,779.95","1,779.95","1,727.10","1,791.65","1,739.00","1,743.15","1,748.61","1,903.00","1,351.65","62,27,910","10,89,02,09,220.55","2,37,457"
"07-Aug-2024","EQ","1,796.00","1,797.90","1,762.10","1,751.10","1,792.00","1,791.65","1,782.20","1,903.00","1,351.65","50,94,329","9,07,91,19,381.90","1,89,924"
"06-Aug-2024","EQ","1,760.20","1,796.95","1,744.85","1,751.90","1,756.00","1,751.10","1,762.70","1,903.00","1,351.65","76,90,163","13,55,54,53,181.95","2,29,956"
"05-Aug-2024","EQ","1,784.95","1,797.50","1,718.55","1,821.20","1,751.45","1,751.90","1,748.15","1,903.00","1,351.65","1,07,36,703","18,76,93,78,971.85","3,57,150"
